Turno	Son/Alabado	Autor	Dirección	Lat	Lng	Tipo
Honor Salida	Himno a la Asunción	José Cubeles / Arr. Luis Pirir	Del interior del templo a la 5ta. calle sobre la 7ma. avenida zona 2	14.64993	-90.51049	ida
	Las Tortugas	José Cupertino				
	La Granadera	D.R.A				
	Manzanilla	Rafael Juárez Toledo				
	Neblina	José Domingo Velásquez				
Turno 2	Najij Noj	Nazario Rucal	De la 5ta. calle a la 4ta. calle sobre la 7ma. avenida zona 2	14.64982	-90.51049	ida
Turno 3	El Gato Montes	Manuel Penella Moreno	De la 7ma. avenida a la 8va. avenida sobre la 4ta. calle zona 2	14.648963	-90.51049	ida
Turno 4	El Enfrascade	José De León	De la 4ta. calle a la 3era. calle sobre la 8va. avenida zona 2	14.648963	-90.509176	ida
Turno 5	El Jute	Alfredo Dávila Rendón	De 8va. avenida a la 7ma. avenida sobre la 3era. calle de la zona 2	14.648106	-90.509176	ida
Turno 6	Patzún de mis recuerdos	Reginaldo Melgar	De la 3era. calle a la 2da. calle sobre la 7ma. avenida zona 2	14.648106	-90.51049	ida
Turno 7	El Poder del amor	Mons. Joaquín Santa María y Vigil	De la 2da. calle a la 1era. calle sobre la 7ma. avenida zona 2	14.647249	-90.51049	ida
Turno 8	El Buey y la Mula	Federico García	De la 1era. calle zona 2 a la 1era. calle zona 1 sobre la 7ma. avenida zona 2	14.646392	-90.51049	ida
	A Orillas del Panajachel	Everardo De León				
Turno 9	Mi bella Guatemala	German Alcántara	De la 1era. calle a la 2da. calle sobre la 7ma. avenida zona 1	14.646092	-90.51275	ida
Turno 10	Barras y Estrellas	John Philip Sousa	De la 7ma. avenida a la 6ta. avenida sobre la 2da. calle de la zona 1	14.645235	-90.51275	ida
	Mi linda María	Adrian Tzul				
Turno 11	La Sandunga	Máximo Ramón Ortiz	De la 6ta. avenida a la 5ta. avenida sobre la 2da. calle zona 1	14.645235	-90.514064	ida
Turno 12	Salve Emperatriz de America	Carlos Echigoyen	De la 5ta. avenida a la 4ta. avenida sobre la 2da. calle zona 1	14.645235	-90.515378	ida
Turno 13	Llegarás a Quererme	Salomón Argueta	De la 4ta. avenida a la 3era. avenida sobre la 2da. calle zona 1	14.645235	-90.516693	ida
	España Cañí	Pascual Marquina Narro				
Turno 14	Sal Negra	Juan Hernández	De la 2da. calle a la 3era. calle sobre la 3era. avenida zona 1	14.645235	-90.518007	ida
	Ave María	Fray Miguel Murcia				
Turno 15	Añoranzas	Wotzbelí Aguilar	De la 3era. avenida a la 4ta. avenida sobre la 3era. calle zona 1	14.644378	-90.518007	ida
	Asunción Bendita	Cristian González Ajín				
Turno 16	Nereidas	Amador Pérez	De la 4ta. avenida a la 5ta. avenida sobre la 3era. calle zona 1	14.644378	-90.516693	ida
Turno 17	Quincho Barrilete	Carlos Mejía Godoy	De la 3era. calle a la 4ta. calle sobre la 5ta. avenida zona 1	14.644378	-90.515378	ida
	Rio Polochic	Rodolfo Chavarria				
Turno 18	El Pavo Real	Julio Anibal Delgado	De la 4ta. calle a la 5ta. calle sobre la 5ta. avenida zona 1	14.643521	-90.515378	ida
	Santiaguito	Domingo Bethancourt				
Turno 19	El Rey Quiche	Daniel Hurtado	De la 5ta. avenida a la 6ta. avenida sobre la 5ta. calle zona 1	14.642664	-90.515378	ida
Turno 20	Callejuela de la O	Paco Lola	De la 6ta. avenida a la 7ma. avenida sobre la 5ta. calle zona 1	14.642664	-90.514064	ida
	La Virgen de la Feria	Samuel Pascual				
Turno 21	Salve Rociera	Manuel Pareja Obregón	De la 5ta. calle a la 6ta. calle sobre la 7ma. avenida zona 1	14.642664	-90.51275	ida
