Turno	Son/Alabado	Autor	Dirección	Lat	Lng	Tipo
Turno 1	Pieza 1		DEL DOSEL A LA PUERTA DEL TEMPLO DE LA RECOLECCION	14.646886	-90.5171	ida
	Pieza 2					
	Pieza 3					
Turno 2	Turno 2		DE LA PUERTA DEL TEMPLO A LA ESQUINA DE LA 3ERA. CALLE Y 3ERA. AVENIDA	14.644378	-90.518007	ida
Turno 3	Turno 3		DE LA 3ERA. AVENIDA A LA 3ERA. AVENIDA "A" SOBRE LA 3ERA. CALLE	14.644378	-90.517573	ida
Turno 4	Turno 4		DE LA 3ERA. AVENIDA "A" A LA 3ERA. AVENIDA "B" SOBRE LA TERCERA CALLE	14.644378	-90.51714	ida
Turno 5	Turno 5		DE LA 3ERA. AVENIDA "B" A LA 4TA. AVENIDA SOBRE LA 3ERA. CALLE	14.644378	-90.516693	ida
Turno 6	Turno 6		DE LA 4TA. AVENIDA A LA 5TA. AVENIDA SOBRE LA 3ERA. CALLE	14.644378	-90.515378	ida
Turno 7	Turno 7		DE LA 5TA. AVENIDA A LA 6TA. AVENIDA SOBRE LA 3ERA. CALLE	14.644378	-90.514064	ida
Turno 8	Turno 8		DE LA 3ERA. CALLE A LA 4TA. CALLE SOBRE LA 6TA. AVENIDA	14.643521	-90.514064	ida
Turno 9	Turno 9		DE LA 4TA. CALLE A LA 5TA. CALLE SOBRE LA 6TA. AVENIDA	14.642664	-90.514064	ida
Turno 10	Turno 10		DE LA 5TA. CALLE A LA 6TA. CALLE SOBRE LA 6TA. AVENIDA	14.641807	-90.514064	ida
Turno 11	Turno 11		PALACIO NACIONAL DE LA CULTURA	14.642919	-90.513067	ida
Turno 12	Turno 12		DE LA 7MA. AVENIDA A LA 8AVA. AVENIDA SOBRE LA SEXTA CALLE	14.641807	-90.511435	ida
Turno 13	Turno 13		DE LA 8AVA. AVENIDA A LA NOVENA AVENIDA SOBRE LA 6TA. CALLE	14.641807	-90.510121	ida
Turno 14	Turno 14		DE LA 6TA. CALLE A LA 7MA. CALLE SOBRE LA 9ENA. AVENIDA	14.64095	-90.510121	ida
Turno 15	Turno 15		DE LA 7MA. CALLE A LA 8AVA. CALLE SOBRE LA 9ENA. AVENIDA	14.640093	-90.510121	ida
Turno 16	Turno 16		DE LA 8AVA. CALLE A LA 9ENA. CALLE SOBRE LA 9ENA. AVENIDA	14.639236	-90.510121	ida
Turno 17	Turno 17		DE LA 9ENA. CALLE A LA 10MA. CALLE SOBRE LA 9ENA. AVENIDA	14.638379	-90.510121	ida
Turno 18	Turno 18		DE LA 9ENA. AVENIDA A LA 8AVA. AVENIDA SOBRE LA 10MA. CALLE	14.638379	-90.511435	ida
Turno 19	Turno 19		DE LA 10MA. CALLE A LA 11 CALLE SOBRE LA 8AVA. AVENIDA (TEMPLO DEL CARMEN)	14.637522	-90.511435	ida
Turno 20	Turno 20		DE LA 11 CALLE A LA 12 CALLE SOBRE LA 8AVA. AVENIDA	14.636665	-90.511435	ida
Turno 21	Turno 21		DE LA 8AVA. AVENIDA A LA 7MA. AVENIDA SOBRE LA 12 CALLE (ARCO DE CORREOS)	14.636665	-90.51275	ida
Turno 22	Turno 22		DE LA 12 CALLE A LA 11 CALLE SOBRE LA 7MA. AVENIDA	14.637522	-90.51275	ida
Turno 23	Turno 23		DE LA 11 CALLE A LA 10MA. CALLE SOBRE LA 7MA. AVENIDA	14.638379	-90.51275	ida
Turno 24	Turno 24		DE LA 10MA. CALLE A LA 9ENA. CALLE SOBRE LA 7MA. AVENIDA	14.639236	-90.51275	ida
Turno 25	Turno 25		DE LA 9ENA. CALLE A LA 8AVA. CALLE SOBRE LA 7MA. AVENIDA	14.640093	-90.51275	ida
Turno 26	Turno 26		DE LA 8AVA. CALLE A LA PUERTA DE CATEDRAL	14.641483	-90.512046	ida
Turno 27	Pieza 1		DE LA PUERTA DE CATEDRAL AL DOSEL	14.641483	-90.512046	ida
	Pieza 2					
	Pieza 3					
